idx|topic|clean_doc|clean_source|source_key|source_file
1|Is homework a waste of time?|Temple University professor Kathryn Hirsh-Pasek said that homework is not the most effective tool for young learners to apply new information: “They’re learning way more important skills when they’re not doing their homework.” [42]|procon_corpus.jsonl#L818|procon_corpus.jsonl#L818|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
2|Is death penalty a deterrent?|If not a deterrent to would-be murderers, at the very least, when carried out, the death penalty prevents convicted murderers from repeating their crimes.|procon_corpus.jsonl#L344|procon_corpus.jsonl#L344|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
3|Should people decide on OTC birth control?|Birth control pills do have serious and sometimes fatal contraindications, meaning not every woman should take them. When a drug is OTC, 49% of people get information about the drug from mass media, and only 27% contact their doctors with questions about OTC drugs. This lack of communication and lack of awareness of contraindications can put women at risk. [56]|procon_corpus.jsonl#L1002|procon_corpus.jsonl#L1002|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
4|Do tests enhance learning outcomes in the US?|Standardized tests can promote and offer evidence of academic rigor, which is invaluable in college as well as in students’ careers. Matthew Pietrafetta, Founder of Academic Approach, argues that the “tests create gravitational pull toward higher achievement.” [65]|procon_corpus.jsonl#L1287|procon_corpus.jsonl#L1287|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
5|Is abortion primarily a moral issue?|That people may face difficulties without abortion as an option does not excuse or justify murder. A reader of The Atlantic, who gave only the initial K., clarified the moral dilemma: “I wish that I could be pro-choice because the awful circumstances so many women face—that I can’t even imagine facing—seem so much more real to me than the rights of a fetus who doesn’t even always look human. But abortion is the intentional killing of a human being and we look back with horror at anyone in history who decided a group of people did not actually count as people. We cannot solve the problem of injustice against women with more injustice. We need solutions that support women without killing fetuses.” [295]|procon_corpus.jsonl#L44|procon_corpus.jsonl#L44|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
6|Is there merit in the penny?|You can’t buy anything for a penny; vending machines and parking meters won’t accept them. [18] Harvard economist Greg Mankiw stated, “The purpose of the monetary system is to facilitate exchange. The penny no longer serves that purpose. When people start leaving a monetary unit at the cash register for the next customer, the unit is too small to be useful.” [19] Former US Mint Director Philip Diehl said, “[T]he value of a penny has shrunk to the point that, if you earn more than the minimum wage, you’re losing money stopping and picking up a penny on the sidewalk.” [20]|procon_corpus.jsonl#L1030|procon_corpus.jsonl#L1030|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
7|Are zoos beneficial to wildlife?|Zoos are also working to save polar bears, tigers, and wild African elephants from habitat loss, apes and rhinos from poachers, dolphins and whales from hunters, and bees and butterflies from population declines, among many other efforts to help many other animals. [17] [18] [19] [20]|procon_corpus.jsonl#L1468|procon_corpus.jsonl#L1468|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
8|Does the filibuster protect minority rights?|The filibuster provides a way for minority opinions (and therefore the voices of the constituents of the minority parties) to be heard on the Senate floor, fulfilling the senators’ mandate to govern. [17]|procon_corpus.jsonl#L523|procon_corpus.jsonl#L523|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
9|Does socialism affect US wealth?|Socialist policies, particularly a wealth tax, could redistribute wealth and aid Americans who have been penalized by a structurally inequitable system.|procon_corpus.jsonl#L62|procon_corpus.jsonl#L62|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
10|Is raising corporate taxes necessary?|Adam A. Millsap, PhD, Senior Fellow for Economic Opportunity Issues at Stand Together and the Charles Koch Institute, in an Apr. 28, 2021 article, “Higher Corporate Taxes Affect Everyone,” available at forbes.com, stated: “[T]here is plenty of evidence that raising corporate income taxes affects all workers by reducing wages, slowing employment growth, and impeding innovation.Federal corporate income tax changes are relatively rare, but with 50 states there is a lot of change and variation at the state level. Rates vary from a high of 11.5% in New Jersey to a low of 2.5% in North Carolina. Economists have studied state corporate tax changes for decades, and several studies over the last 15 years find that state corporate tax increase have adverse economic consequences…There is strong evidence that corporate tax increases cause worse economic outcomes at the state level. At a time when unemployment claims remain high and thousands of firms are still in survival mode, it seems imprudent to raise corporate taxes at the federal or state level.”|procon_corpus.jsonl#L249|procon_corpus.jsonl#L249|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
