idx,topic,group,perplexity,log_perplexity,token_count,source_file,source_key
1,Should Abortion Be Legal?,Whole Clean Corpus,28.574385101425698,3.352510690689087,276,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L1
2,Should Abortion Be Legal?,Whole Clean Corpus,22.170741728235082,3.09877347946167,354,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L2
3,Should Abortion Be Legal?,Whole Clean Corpus,32.855035050448926,3.492105007171631,91,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L3
4,Should Abortion Be Legal?,Whole Clean Corpus,35.3271225257676,3.5646510124206543,164,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L4
5,Should Abortion Be Legal?,Whole Clean Corpus,40.6331453592947,3.7045841217041016,250,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L5
6,Should Abortion Be Legal?,Whole Clean Corpus,22.211777227680546,3.1006226539611816,270,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L6
7,Should Abortion Be Legal?,Whole Clean Corpus,27.903018549834126,3.328734874725342,246,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L7
8,Should Abortion Be Legal?,Whole Clean Corpus,31.03772232219861,3.4352033138275146,200,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L8
9,Should Abortion Be Legal?,Whole Clean Corpus,24.74512292499145,3.2086284160614014,365,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L9
10,Should Abortion Be Legal?,Whole Clean Corpus,15.55306813595248,2.744257926940918,177,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L10
11,Should Abortion Be Legal?,Whole Clean Corpus,36.05441639193811,3.585029363632202,318,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L11
12,Should Abortion Be Legal?,Whole Clean Corpus,25.22386560330909,3.227790594100952,382,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L12
13,Should Abortion Be Legal?,Whole Clean Corpus,21.63411442897304,3.0742714405059814,210,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L13
14,Should Abortion Be Legal?,Whole Clean Corpus,27.01246065967597,3.2962982654571533,202,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L14
15,Should Abortion Be Legal?,Whole Clean Corpus,21.05236792619322,3.0470130443573,282,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L15
16,Should Abortion Be Legal?,Whole Clean Corpus,25.14985384290429,3.2248520851135254,334,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L16
17,Should Abortion Be Legal?,Whole Clean Corpus,17.720843653039026,2.874741554260254,140,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L17
18,Should Abortion Be Legal?,Whole Clean Corpus,29.16031457100017,3.3728086948394775,182,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L18
19,Should Abortion Be Legal?,Whole Clean Corpus,17.831476402490644,2.880965232849121,261,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L19
20,Should Abortion Be Legal?,Whole Clean Corpus,17.87062327658979,2.8831582069396973,109,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L20
21,Should Abortion Be Legal?,Whole Clean Corpus,12.092672924086354,2.4925997257232666,75,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L21
22,Should Abortion Be Legal?,Whole Clean Corpus,23.572851546932796,3.160095691680908,80,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L22
23,Should Abortion Be Legal?,Whole Clean Corpus,34.62049172345074,3.544445753097534,105,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L23
24,Should Abortion Be Legal?,Whole Clean Corpus,160.43164833186262,5.0778679847717285,33,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L24
25,Should Abortion Be Legal?,Whole Clean Corpus,18.009646410050014,2.8909075260162354,92,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L25
26,Should Abortion Be Legal?,Whole Clean Corpus,31.64973562440509,3.4547297954559326,24,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L26
27,Should Abortion Be Legal?,Whole Clean Corpus,12.69827599868002,2.541466236114502,79,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L27
28,Should Abortion Be Legal?,Whole Clean Corpus,27.509694748390668,3.3145384788513184,63,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L28
29,Should Abortion Be Legal?,Whole Clean Corpus,33.9664401255356,3.5253729820251465,45,/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl,procon_corpus.jsonl#L29
